REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Enterprise size,Advanced technology acquisition,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,Cl,c,STATUS,DEx
2009,Canada,2016A000011124,"Agriculture, forestry, fishing and hunting [11",Medium-sized enterprises (100 to 249 employees),Purchase,Percent,239,units,0,v80736848,1.2.3.1,,x,1
2009,Canada,2016A000011124,"Agriculture, forestry, fishing and hunting [11",Medium-sized enterprises (100 to 249 employees),Lease,Percent,239,units,0,v80736849,1.2.3.2,,x,1
2009,Canada,2016A000011124,"Agriculture, forestry, fishing and hunting [11",Medium-sized enterprises (100 to 249 employees),License,Percent,239,units,0,v80736850,1.2.3.3,,x,1
2009,Canada,2016A000011124,"Agriculture, forestry, fishing and hunting [11",Medium-sized enterprises (100 to 249 employees),Customize,Percent,239,units,0,v80736851,1.2.3.4,,x,1
2009,Canada,2016A000011124,"Agriculture, forestry, fishing and hunting [11",Medium-sized enterprises (100 to 249 employees),Develop,Percent,239,units,0,v80736852,1.2.3.5,,x,1
2009,Canada,2016A000011124,"Agriculture, forestry, fishing and hunting [11",Medium-sized enterprises (100 to 249 employees),Merger or acquisition,Percent,239,units,0,v80736853,1.2.3.6,,x,1
2009,Canada,2016A000011124,"Agriculture, forestry, fishing and hunting [11",Large enterprises (250 and more employees),Purchase,Percent,239,units,0,v80736854,1.2.4.1,,x,1
2009,Canada,2016A000011124,"Agriculture, forestry, fishing and hunting [11",Large enterprises (250 and more employees),Lease,Percent,239,units,0,v80736855,1.2.4.2,,x,1
2009,Canada,2016A000011124,"Agriculture, forestry, fishing and hunting [11",Large enterprises (250 and more employees),License,Percent,239,units,0,v80736856,1.2.4.3,,x,1
2009,Canada,2016A000011124,"Agriculture, forestry, fishing and hunting [11",Large enterprises (250 and more employees),Customize,Percent,239,units,0,v80736857,1.2.4.4,,x,1
2009,Canada,2016A000011124,"Agriculture, forestry, fishing and hunting [11",Large enterprises (250 and more employees),Develop,Percent,239,units,0,v80736858,1.2.4.5,,x,1
2009,Canada,2016A000011124,"Agriculture, forestry, fishing and hunting [11",Large enterprises (250 and more employees),Merger or acquisition,Percent,239,units,0,v80736859,1.2.4.6,,x,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Total enterprises,Purchase,Percent,239,units,0,v80736860,1.3.1.1,77.1,B,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Total enterprises,Lease,Percent,239,units,0,v80736861,1.3.1.2,10.3,B,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Total enterprises,License,Percent,239,units,0,v80736862,1.3.1.3,27.8,B,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Total enterprises,Customize,Percent,239,units,0,v80736863,1.3.1.4,12.2,B,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Total enterprises,Develop,Percent,239,units,0,v80736864,1.3.1.5,23.9,B,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Total enterprises,Merger or acquisition,Percent,239,units,0,v80736865,1.3.1.6,0.0,A,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Small enterprises (20 to 99 employees),Purchase,Percent,239,units,0,v80736866,1.3.2.1,75.6,E,1
