received_date,Auth_Description,Op_Name,Short Notice Short Notice,Description,Variation Number Variation Number,Service_Type_Other_Details
23/06/06,East Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,3,
30/12/08,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,1,Monday to Friday
01/07/16,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,Yes,Standard National,0,School days only
04/08/20,Scottish Borders Council,TELFORD'S COACHES LTD,Yes,Standard International,7,"Service suspended due to Covid 19

(Service prior was:Schooldays only."
15/04/13,Angus Council,TAYSIDE PUBLIC TRANSPORT CO LTD,Yes,Standard National,4,Monday to Saturday
22/03/20,Shetland Islands Council,ROBERT JAMIESON & PARTNERS,Yes,Standard International,1,"Service varied due to Covid 19

(Service prior was Mon to Sat)"
24/07/20,Strathclyde Partnership for Transport,GARELOCHHEAD MINIBUSES & COACHES LTD,Yes,Standard National,2,Temporary variation (in response to emergency situation)
29/05/03,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,0,"Monday to Friday.
No Service: 1/2 January & 25/26 December.
"
27/03/20,Stirling Council,J DOCHERTY & SONS LTD,Yes,Standard National,7,"Service suspended due to Covid 19

(Service prior was: Monday to Saturday)"
07/08/09,Dumfries & Galloway Council,WESTERN BUSES LIMITED,No,Standard International,6,"Hourly Monday to Saturday, two hourly Sundays - Lockerbie to Gretna"
24/08/12,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,16,Minor early evening timetable amendments
26/11/21,East Lothian Council,EAST COAST BUSES LIMITED,Yes,Standard National,0,Operates 1st Jan 2022 only
16/06/08,Falkirk District Council,E & M HORSBURGH LTD,No,Standard National,0,Monday to Friday (once daily) schooldays.
10/05/10,Perth & Kinross Council,SCOTTISH CITYLINK COACHES LTD,No,Standard National,2,Operates from Friday 11th July to Monday 14th July 2008 and operates on similar dates in subsequent years
04/04/22,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,12,MON TO SUNDAY HOURLY
08/04/19,Perth & Kinross Council,SCOTTISH CITYLINK COACHES LTD,No,Standard National,0,Daily
